province,male,agegroup,income,education,n,cell_prop_of_division_total
British Columbia,0,ages18to24,"$100,000 to $ 124,999",Completed Highschool,0,0
British Columbia,0,ages18to24,"$100,000 to $ 124,999",Some College,0,0
British Columbia,0,ages18to24,"$100,000 to $ 124,999",Some University,0,0
British Columbia,0,ages18to24,"$100,000 to $ 124,999",Bachelor's Degree,0,0
British Columbia,0,ages18to24,"$100,000 to $ 124,999",Degree above Bachelor's,0,0
British Columbia,0,ages18to24,"$125,000 and more",No Highschool,0,0
British Columbia,0,ages18to24,"$125,000 and more",Completed Highschool,0,0
British Columbia,0,ages18to24,"$125,000 and more",Some College,0,0
British Columbia,0,ages18to24,"$125,000 and more",Some University,0,0
British Columbia,0,ages18to24,"$125,000 and more",Bachelor's Degree,0,0
British Columbia,0,ages18to24,"$125,000 and more",Degree above Bachelor's,0,0
British Columbia,1,ages18to24,"Less than $25,000",No Highschool,6,0.0024650780608052587
British Columbia,1,ages18to24,"Less than $25,000",Completed Highschool,43,0.017666392769104356
British Columbia,1,ages18to24,"Less than $25,000",Some College,6,0.0024650780608052587
British Columbia,1,ages18to24,"Less than $25,000",Some University,2,8.216926869350862e-4
British Columbia,1,ages18to24,"Less than $25,000",Bachelor's Degree,3,0.0012325390304026294
British Columbia,1,ages18to24,"Less than $25,000",Degree above Bachelor's,1,4.108463434675431e-4
British Columbia,1,ages18to24,"$25,000 to $49,999",No Highschool,0,0
British Columbia,1,ages18to24,"$25,000 to $49,999",Completed Highschool,6,0.0024650780608052587
British Columbia,1,ages18to24,"$25,000 to $49,999",Some College,1,4.108463434675431e-4
British Columbia,1,ages18to24,"$25,000 to $49,999",Some University,1,4.108463434675431e-4
British Columbia,1,ages18to24,"$25,000 to $49,999",Bachelor's Degree,1,4.108463434675431e-4
British Columbia,1,ages18to24,"$25,000 to $49,999",Degree above Bachelor's,0,0
British Columbia,1,ages18to24,"$50,000 to $74,999",No Highschool,0,0
British Columbia,1,ages18to24,"$50,000 to $74,999",Completed Highschool,1,4.108463434675431e-4
British Columbia,1,ages18to24,"$50,000 to $74,999",Some College,1,4.108463434675431e-4
British Columbia,1,ages18to24,"$50,000 to $74,999",Some University,0,0
British Columbia,1,ages18to24,"$50,000 to $74,999",Bachelor's Degree,0,0
British Columbia,1,ages18to24,"$50,000 to $74,999",Degree above Bachelor's,0,0
British Columbia,1,ages18to24,"$75,000 to $99,999",No Highschool,0,0
British Columbia,1,ages18to24,"$75,000 to $99,999",Completed Highschool,0,0
