province,male,agegroup,income,education,age,SupportLP,SupportCP,SupportNDP,SupportBQ,SupportGP,SupportPP,SupportAnother
Ontario,0,ages55to64,"$125,000 and more",Some College,61,1,0,0,0,0,0,0
Ontario,1,ages55to64,"$125,000 and more",Bachelor's Degree,56,0,1,0,0,0,0,0
Ontario,0,ages55to64,"$125,000 and more",Some University,56,0,0,0,0,0,0,1
Ontario,1,ages55to64,"$75,000 to $99,999",Some College,64,1,0,0,0,0,0,0
Ontario,0,ages35to44,"$25,000 to $49,999",Some College,44,1,0,0,0,0,0,0
British Columbia,1,ages45to54,"$75,000 to $99,999",Completed Highschool,52,0,1,0,0,0,0,0
Ontario,1,ages65to74,"$75,000 to $99,999",Some College,65,0,0,1,0,0,0,0
Quebec,1,ages55to64,"$50,000 to $74,999",Some College,57,0,1,0,0,0,0,0
Ontario,1,ages45to54,"$50,000 to $74,999",Some College,47,0,0,1,0,0,0,0
Ontario,0,ages75plus,"$25,000 to $49,999",Completed Highschool,82,0,1,0,0,0,0,0
Ontario,0,ages45to54,"$125,000 and more",Bachelor's Degree,54,0,0,1,0,0,0,0
Newfoundland and Labrador,0,ages45to54,"$125,000 and more",Degree above Bachelor's,50,1,0,0,0,0,0,0
Ontario,0,ages65to74,"Less than $25,000",Completed Highschool,70,0,0,1,0,0,0,0
Quebec,0,ages55to64,"$50,000 to $74,999",Some College,58,1,0,0,0,0,0,0
Ontario,1,ages55to64,"$125,000 and more",Degree above Bachelor's,60,0,0,0,0,1,0,0
Nova Scotia,1,ages25to34,"$75,000 to $99,999",Degree above Bachelor's,25,1,0,0,0,0,0,0
Quebec,1,ages65to74,"$100,000 to $ 124,999",Bachelor's Degree,72,0,0,0,0,1,0,0
Quebec,1,ages35to44,"$125,000 and more",Some University,39,0,1,0,0,0,0,0
Ontario,0,ages55to64,"$50,000 to $74,999",Degree above Bachelor's,56,1,0,0,0,0,0,0
Ontario,0,ages35to44,"$25,000 to $49,999",Bachelor's Degree,36,0,0,0,0,1,0,0
Quebec,0,ages45to54,"Less than $25,000",Completed Highschool,49,0,0,0,0,1,0,0
Quebec,1,ages45to54,"$125,000 and more",Degree above Bachelor's,52,0,1,0,0,0,0,0
Ontario,1,ages55to64,"$50,000 to $74,999",Completed Highschool,59,0,0,0,0,1,0,0
Manitoba,1,ages25to34,"$50,000 to $74,999",Bachelor's Degree,31,0,1,0,0,0,0,0
Ontario,1,ages45to54,"$125,000 and more",Degree above Bachelor's,49,0,1,0,0,0,0,0
Ontario,0,ages45to54,"$100,000 to $ 124,999",Bachelor's Degree,48,1,0,0,0,0,0,0
Ontario,1,ages25to34,"$100,000 to $ 124,999",No Highschool,29,0,0,1,0,0,0,0
Ontario,1,ages25to34,"$75,000 to $99,999",Degree above Bachelor's,32,0,0,0,0,1,0,0
Ontario,0,ages18to24,"$25,000 to $49,999",Completed Highschool,19,1,0,0,0,0,0,0
Quebec,1,ages55to64,"$75,000 to $99,999",Bachelor's Degree,61,0,0,0,1,0,0,0
Ontario,0,ages55to64,"$75,000 to $99,999",Some University,62,0,1,0,0,0,0,0
British Columbia,0,ages25to34,"$50,000 to $74,999",Completed Highschool,34,0,0,1,0,0,0,0
Quebec,1,ages25to34,"$25,000 to $49,999",Completed Highschool,34,1,0,0,0,0,0,0
Ontario,1,ages45to54,"$75,000 to $99,999",Bachelor's Degree,48,1,0,0,0,0,0,0
Ontario,1,ages55to64,"Less than $25,000",Completed Highschool,64,0,0,1,0,0,0,0
Alberta,1,ages25to34,"$50,000 to $74,999",Some College,32,1,0,0,0,0,0,0
Quebec,1,ages55to64,"Less than $25,000",Completed Highschool,64,0,1,0,0,0,0,0
Newfoundland and Labrador,0,ages75plus,"$50,000 to $74,999",Some College,75,1,0,0,0,0,0,0
Ontario,0,ages65to74,"$75,000 to $99,999",Some University,68,1,0,0,0,0,0,0
Ontario,0,ages45to54,"$50,000 to $74,999",Some College,47,1,0,0,0,0,0,0
Ontario,0,ages25to34,"$50,000 to $74,999",Some University,31,1,0,0,0,0,0,0
Nova Scotia,1,ages65to74,"$100,000 to $ 124,999",Bachelor's Degree,69,1,0,0,0,0,0,0
Quebec,0,ages45to54,"$125,000 and more",Degree above Bachelor's,45,0,1,0,0,0,0,0
Ontario,1,ages75plus,"$75,000 to $99,999",Completed Highschool,81,1,0,0,0,0,0,0
Newfoundland and Labrador,0,ages65to74,"$25,000 to $49,999",Some College,68,0,1,0,0,0,0,0
Ontario,1,ages55to64,"$25,000 to $49,999",Completed Highschool,64,0,1,0,0,0,0,0
Ontario,0,ages45to54,"$25,000 to $49,999",Bachelor's Degree,54,0,0,1,0,0,0,0
Ontario,1,ages25to34,"$100,000 to $ 124,999",Degree above Bachelor's,34,0,0,1,0,0,0,0
Ontario,0,ages65to74,"$100,000 to $ 124,999",Bachelor's Degree,70,1,0,0,0,0,0,0
Ontario,1,ages35to44,"$50,000 to $74,999",Completed Highschool,35,0,1,0,0,0,0,0
Ontario,1,ages65to74,"$50,000 to $74,999",Some College,71,1,0,0,0,0,0,0
Quebec,1,ages35to44,"$50,000 to $74,999",Completed Highschool,39,1,0,0,0,0,0,0
Newfoundland and Labrador,0,ages45to54,"$50,000 to $74,999",Some College,48,0,1,0,0,0,0,0
Quebec,0,ages35to44,"$50,000 to $74,999",Some College,39,1,0,0,0,0,0,0
Quebec,1,ages45to54,"$25,000 to $49,999",Bachelor's Degree,51,0,1,0,0,0,0,0
Ontario,0,ages55to64,"$25,000 to $49,999",Bachelor's Degree,64,1,0,0,0,0,0,0
Ontario,0,ages55to64,"$25,000 to $49,999",Bachelor's Degree,56,0,1,0,0,0,0,0
Quebec,1,ages55to64,"$75,000 to $99,999",Bachelor's Degree,63,0,0,0,1,0,0,0
Ontario,1,ages65to74,"Less than $25,000",Completed Highschool,72,1,0,0,0,0,0,0
Nova Scotia,0,ages75plus,"$25,000 to $49,999",Some University,82,1,0,0,0,0,0,0
Quebec,0,ages45to54,"Less than $25,000",Completed Highschool,49,1,0,0,0,0,0,0
Ontario,0,ages45to54,"$75,000 to $99,999",Some University,50,1,0,0,0,0,0,0
Nova Scotia,0,ages25to34,"$25,000 to $49,999",Some College,32,0,0,0,0,1,0,0
Ontario,0,ages55to64,"$125,000 and more",Some College,56,1,0,0,0,0,0,0
Ontario,0,ages25to34,"$75,000 to $99,999",Degree above Bachelor's,30,0,0,1,0,0,0,0
British Columbia,1,ages45to54,"Less than $25,000",Degree above Bachelor's,47,1,0,0,0,0,0,0
Ontario,0,ages35to44,"Less than $25,000",Bachelor's Degree,44,1,0,0,0,0,0,0
Quebec,1,ages45to54,"$125,000 and more",Degree above Bachelor's,45,0,1,0,0,0,0,0
